1001 Minigolf Challenge	1001MinigolfChalle				
12Iron  Automatch (DS)	12irondsam		RxXhtd		
12Iron (DS)	12ironds		RxXhtd		
1701 A.D.	1701AD				
1701 A.D. Gold	1701adg				
18 Wheels of Steel: Extreme Trucker 2	18WofSExtremeTruck				
25 to Life	25tolife				
2K Boxing (DS)	2kboxingds	1994	JiBAt0		
3* Celsius (WiiWare)	3celsiuswii	2539	xR1sEX		
3D Action Planet	g_3daction				
3D Picross (DS)	3dpicrossds	2394	uhXkFl		
3D Picross (EU) (DS)	3dpicrosseuds	2836	UAX3WC		
3D Picross (US) (DS)	3dpicrossUSds	2882	2IOxzX		
3D Ultra Minigolf Adventures	3DUltraMinigolf		KzYRQz		
4 Elements	4elements				
4Story	4story				
4x4 Evolution	4x4evo	278	tFbq8m		
4x4 Evolution	4x4retail	310	MIq0wX		
4x4 Evolution Demo	4x4evodemo	320	p4jAGg		
50 Cent: Blood on the Sand  Automatch (JPN) (PS3)	50centjpnps3am	2727	ZmGGQs		
50 Cent: Blood on the Sand  Automatch (PS3)	50centsandps3am	2172	ORydHB		
50 Cent: Blood on the Sand  Demo (JPN) (PS3)	50centjpnps3d	2728	ZmGGQs		
50 Cent: Blood on the Sand (JPN) (PS3)	50centjpnps3	2726	ZmGGQs		
50 Cent: Blood on the Sand (PS3)	50centsandps3	2171	ORydHB		
50 Cent: Blood on the Sand - Low Violence  Automatch (PS3)	50ctsndlvps3am	2416	n5qRt7		
50 Cent: Blood on the Sand - Low Violence (PS3)	50ctsndlvps3	2415	n5qRt7		
7 Sins	7sins				
7 Wonders II	7WondersII				
7 Wonders of the Ancient World	7WondersoftheAncie				
8-Ball Allstars (DS)	8ballstarsds	1557	b6WiRo		
911: First Responders	911fresp				
9th Company: Roots of Terror	9thCompanyRootsofT				
A Farewell to Dragons	farewelldragons				
A Gypsy's Tale: The Tower of Secrets	AGypsysTaleTheTowe				
A Kingdom For Keflings	kingforkeflings				
A Kingdom for Keflings DLC 1	kingforkeflingsDLC				
A Vampyre Story	AVampyreStory				
A.C.E.	ace	942	L2dC9x		
AC-130: Operation Devastation	ac130				
AFL Live 2005 (ps2)	afllive05ps2	1225	j72Lm2		
AGON: The Lost Sword of Toledo D2D	AGON		ytpbYm		
AI War: Fleet Command	AIWar				
AMF Bowling: Pinbusters! (DS)	amfbowlingds	1917	c56nI8		
AND1: Streetball Online (PS2)	and1sballps2	1234	J3c8Dm		
AND1: Streetball Online (PS2) (Automatch)	and1sballps2am	1261	J3c8Dm		
APB: All Points Bulletin Europe	APBeu				
APB: All Points Bulletin North America	APB				
ATLAS Sample Apps	atlas_samples	1649	Zc0eM6		
Aaaaa!	aaaaa				
Abomination	abominatio	164	qik37G		
Acceleration of Suguri	AccelerationofSugu				
Ace Online	AceOnline				
Aces of The Galaxy	acesotgal				
Achtung Panzer - Kharkov 1943	actungpanzerk1943				
Achtung Panzer - Kharkov 1943 Demo	AchtungPanzerKhar1				
Act of War: Direct Action	actofwar	1035	LaR21n		
Act of War: Direct Action (Automatch)	actofwaram	1060	LaR21n		
Act of War: Direct Action Demo	actofward	1156	LaR21n		
Act of War: Direct Action Demo (Automatch)	actofwardam	1157	LaR21n		
Act of War: High Treason	actofwarht	1329	LaR21n		
Act of War: High Treason Automatch	actofwarhtam	1330	LaR21n		
Act of War: High Treason Demo	actofwarhtd	1331	LaR21n		
Act of War: High Treason Demo Automatch	actofwarhtdam	1332	LaR21n		
Actionion	wg_action				
Activision Value Title 1	actval1	505	j9Ew2L		
